id,type,last_name,first_name,gender,birth_year,party,region,position,tiktok_username
114,Person,Doskozil,Hans Peter,male,1970,SPÖ,Burgenland,Landesregierung,teamdoskozil
118,Person,Duzdar,Muna,female,1978,SPÖ,Österreich,Nationalrat,muna.duzdar
122,Person,Ecker,Georg,male,1986,GRÜNE,Niederösterreich,Landtag,georgecker
125,Person,Eder,Heike,female,1988,ÖVP,Österreich,Nationalrat,heike.eder01
128,Person,Edtstadler,Karoline,female,1981,ÖVP,Salzburg,Landesregierung,karoline.edtstadler
133,Person,Eibinger-Miedl,Barbara,female,1980,ÖVP,Österreich,Bundesregierung,barbaraeibinger
138,Person,Eisenkopf,Astrid,female,1984,SPÖ,Burgenland,Landtag,astrideisenkopf
141,Person,Emmerling,Bettina,female,1980,NEOS,Wien,Landesregierung,bettina.emmerling
146,Person,Erber,Anton,male,1968,ÖVP,Niederösterreich,Landtag,antonerber
151,Person,Feichtinger,Elisabeth,female,1987,SPÖ,Österreich,Nationalrat,elisabethfeichtin6
153,Person,Fellner,Daniel,male,1977,SPÖ,Kärnten,Landesregierung,daniel_fellner
155,Person,Feurstein-Hosp,Nicole,female,1982,FPÖ,Vorarlberg,Landtag,nicolefeursteinhosp
162,Person,Fleischanderl,Elisabeth,female,1995,SPÖ,Tirol,Landtag,lilli_bethi
177,Person,Gamon,Claudia,female,1988,NEOS,Vorarlberg,Landtag,diegamon
178,Person,Gamper,Alexander,male,1975,FPÖ,Tirol,Landtag,alexandergamper
179,Person,Gang,Andreas,male,1983,FPÖ,Tirol,Landtag,gangandreas
182,Person,Gasser,Johannes,male,1991,NEOS,Österreich,Nationalrat,der.gasser
185,Person,Geistler,Luca-André,male,1998,FPÖ,Steiermark,Landtag,geistlerluca
191,Person,Gewessler,Leonore,female,1977,GRÜNE,Österreich,Nationalrat,lgewessler
199,Person,Gradwohl,Werner,male,1959,FPÖ,Österreich,Bundesrat,wernergradwohl
217,Person,Guggenbichler,Udo,male,1974,FPÖ,Wien,Landtag,udoguggenbichler
221,Person,Götze,Elisabeth,female,1966,GRÜNE,Österreich,Nationalrat,eligoetze
222,Person,Haas,Mario,male,1992,SPÖ,Oberösterreich,Landtag,mariohaas0
225,Person,Hacker,Peter,male,1963,SPÖ,Wien,Landesregierung,peter_hacker
227,Person,Hafenecker,Christian,male,1980,FPÖ,Österreich,Nationalrat,hafenecker
236,Person,Hammer,Lukas,male,1983,GRÜNE,Österreich,Nationalrat,lukas_hammer_tugendhat
244,Person,Hanger,Andreas,male,1968,ÖVP,Österreich,Nationalrat,andreas_hanger
245,Person,Hangöbl,Natalie,female,1991,KPÖ PLUS,Salzburg,Landtag,natalie.hangoebl
250,Person,Haslwanter,Patrick,male,1984,FPÖ,Tirol,Landtag,patrickhaslwanter
251,Person,Hattmannsdorfer,Wolfgang,male,1979,ÖVP,Österreich,Bundesregierung,wolfganghattmannsdorfer
255,Person,Hauser,Gerald,male,1961,FPÖ,EU,EP,geraldhauser_fpoe
257,Person,Heide,Hannes,male,1966,SPÖ,EU,EP,hannesheide_mep
258,Person,Heilig-Hofbauer,Simon,male,1987,GRÜNE,Salzburg,Landtag,simonheilighofbauer
264,Person,Hergovich,Robert,male,1976,SPÖ,Burgenland,Landtag,roberthergovich
266,Person,Hermann,Stefan,male,1985,FPÖ,Steiermark,Landesregierung,hermann.fpoe
267,Person,Herr,Julia Elisabeth,female,1992,SPÖ,Österreich,Nationalrat,frauherr_
269,Person,Herzog,Bernhard,male,1984,SPÖ,Österreich,Nationalrat,bher1210
271,Person,Himmer,Harald,male,1964,ÖVP,Österreich,Bundesrat,harald.himmer
272,Person,Himmer,Heinrich,male,1978,SPÖ,Österreich,Nationalrat,hey_heinrich
275,Person,Hofer,Norbert,male,1971,FPÖ,Burgenland,Landtag,norberthofer1
